ts_open,ts_close,side,entry_mid,exit_mid,gross_usd,fees_usd,net_usd,reason,hour,catch_up,risk_usd,tp_usd
2026-09-23T17:36:46.650369Z,2026-09-23T17:39:34.323268Z,BUY,4278.44,4277.19,-1.26,0.17,-1.43,max_loss_v2,17,1.8,1.4,2.8
2026-09-23T17:39:39.323497Z,2026-09-23T17:40:47.323655Z,BUY,4276.64,4275.28,-1.35,0.15,-1.5,max_loss_v2,17,2.35,1.4,2.8
2026-09-23T17:44:06.419570Z,2026-09-23T17:44:26.419622Z,SELL,4285.94,4287.44,-1.5,0.19,-1.69,max_loss_v2,17,-1.93,1.4,2.8
2026-09-24T03:02:42.217393Z,2026-09-24T03:04:05.961385Z,SELL,4291.78,4292.02,-0.24,0.2,-0.44,giveback_v2,3,-2.6,1.4,2.8
2026-09-24T03:07:32.626180Z,2026-09-24T03:09:58.214417Z,BUY,4285.72,4286.64,0.92,0.17,0.75,trailing_v2,3,1.7,1.4,2.8
2026-09-24T03:15:32.318403Z,2026-09-24T03:17:07.926096Z,SELL,4287.39,4288.74,-1.35,0.17,-1.52,max_loss_v2,3,-1.48,1.4,2.8
2026-09-24T03:31:25.007292Z,2026-09-24T03:36:08.715612Z,SELL,4285.56,4283.96,1.6,0.17,1.43,trailing_v2,3,-2.42,1.4,2.8
2026-09-24T03:39:19.854258Z,2026-09-24T03:44:04.111742Z,SELL,4284.94,4282.13,2.81,0.0,2.81,profit_target_v2,3,-1.39,1.4,2.8
2026-09-24T03:53:47.931294Z,2026-09-24T03:54:23.556214Z,SELL,4282.2,4284.11,-1.91,0.18,-2.09,max_loss_v2,3,-1.31,1.4,2.8
2026-09-24T03:56:47.569988Z,2026-09-24T03:58:29.494829Z,BUY,4284.03,4282.77,-1.27,0.17,-1.44,max_loss_v2,3,1.74,1.4,2.8
2026-09-24T06:05:31.896590Z,2026-09-24T06:05:50.649524Z,SELL,4280.52,4282.12,-1.6,0.18,-1.78,max_loss_v2,6,-2.25,1.4,2.8
2026-09-24T06:05:57.768867Z,2026-09-24T06:06:15.652096Z,SELL,4281.5,4282.95,-1.45,0.18,-1.63,max_loss_v2,6,-2.43,1.4,2.8
2026-09-24T06:08:04.892218Z,2026-09-24T06:09:28.603420Z,SELL,4286.02,4284.55,1.47,0.17,1.3,trailing_v2,6,-2.99,1.4,2.8
2026-09-24T06:10:34.825943Z,2026-09-24T06:12:49.241728Z,BUY,4285.64,4283.99,-1.65,0.16,-1.81,max_loss_v2,6,1.95,1.4,2.8
2026-09-24T06:14:26.429487Z,2026-09-24T06:15:56.733334Z,BUY,4281.89,4281.56,-0.33,0.16,-0.49,giveback_v2,6,1.33,1.4,2.8
2026-09-25T03:34:44.659914Z,2026-09-25T03:36:35.659768Z,SELL,4277.14,4274.98,2.16,0.17,1.99,trailing_v2,3,-1.39,1.4,2.8
2026-09-25T07:06:46.863272Z,2026-09-25T07:11:28.860601Z,SELL,4276.6,4277.24,-0.64,0.22,-0.86,giveback_v2,7,-1.32,1.4,2.8
